id-mapa;anio;mes;dia;fecha;franja;tipo;subtipo;uso_armas;barrio;comuna;latitud;longitud;cantidad;condena
LC-2021-1059421;2021;Junio;Martes;22/6/2021;19;Hurto (sin violencia);;;Chacarita;15;-34,584092;-58,450928;;24
LC-2021-1059611;2021;Mayo;Miércoles;12/5/2021;17;Robo (con violencia);;;Caballito;6;-34,622528;-58,446419;;22
LC-2021-1059676;2021;Marzo;Viernes;19/3/2021;6;Hurto (sin violencia);;;Nueva Pompeya;4;-34,64749;-58,429057;;26
LC-2021-1059952;2021;Junio;Jueves;24/6/2021;14;Lesiones;Siniestro Vial;;Villa Crespo;15;-34,604491;-58,458475;1;17
LC-2021-1060065;2021;Abril;Miércoles;14/4/2021;9;Robo (con violencia);;;Parque Chacabuco;7;-34,637197;-58,436541;;16
LC-2021-1060120;2021;Abril;Martes;6/4/2021;7;Robo (con violencia);;Arma cortante;Boca;4;-34,62733;-58,365675;;9
LC-2021-1060393;2021;Abril;Lunes;26/4/2021;13;Robo (con violencia);;Arma cortante;Villa Devoto;11;-34,606664;-58,503172;;38
LC-2021-1060425;2021;Marzo;Viernes;12/3/2021;7;Hurto (sin violencia);;;Nuñez;13;-34,544559;-58,463514;;21
LC-2021-1060587;2021;Abril;Viernes;16/4/2021;17;Robo (con violencia);;Arma de fuego;Nueva Pompeya;4;-34,647953;-58,428254;;37
LC-2021-1060994;2021;Enero;Sábado;2/1/2021;10;Hurto (sin violencia);;;Retiro;1;-34,589527;-58,369635;;8
LC-2021-1061046;2021;Febrero;Jueves;18/2/2021;22;Robo (con violencia);;;Nuñez;13;-34,554089;-58,461967;;5
LC-2021-1061067;2021;Marzo;Jueves;25/3/2021;1;Robo (con violencia);;;Parque Chacabuco;7;-34,631546;-58,44344;;26
LC-2021-1061202;2021;Mayo;Miércoles;26/5/2021;19;Robo (con violencia);;Arma de fuego;Barracas;4;-34,651508;-58,395431;;36
LC-2021-1061368;2021;Abril;Martes;6/4/2021;6;Robo (con violencia);;Arma cortante;Villa Crespo;15;-34,590821;-58,435314;;14
LC-2021-1061453;2021;Enero;Jueves;7/1/2021;18;Hurto (sin violencia);;;San Cristóbal;3;-34,620026;-58,403885;;17
LC-2021-1061562;2021;Febrero;Martes;9/2/2021;21;Robo (con violencia);;;Flores;7;-34,650338;-58,430986;;33
LC-2021-1061621;2021;Mayo;Jueves;13/5/2021;13;Hurto (sin violencia);;;Monserrat;1;-34,611737;-58,39169;;45
LC-2021-1061647;2021;Marzo;Sábado;27/3/2021;11;Hurto (sin violencia);;;Villa Soldati;8;-34,672606;-58,459168;;6
LC-2021-1061660;2021;Junio;Lunes;28/6/2021;4;Hurto (sin violencia);;;Constitución;1;-34,62149;-58,382927;;43
LC-2021-1061753;2021;Abril;Jueves;1/4/2021;15;Hurto (sin violencia);;;Palermo;14;-34,589322;-58,412763;;45
LC-2021-1061930;2021;Marzo;Martes;9/3/2021;20;Robo (con violencia);;;Villa Urquiza;12;-34,568904;-58,497425;;2
LC-2021-1062207;2021;Enero;Lunes;25/1/2021;5;Robo (con violencia);;;Flores;7;-34,647248;-58,449219;;16
LC-2021-1062258;2021;Junio;Sábado;5/6/2021;12;Hurto (sin violencia);;;Boca;4;-34,63059;-58,358764;;13
LC-2021-1062332;2021;Junio;Domingo;13/6/2021;17;Robo (con violencia);;;Mataderos;9;-34,660714;-58,483231;;41
LC-2021-1062631;2021;Abril;Jueves;15/4/2021;20;Hurto (sin violencia);;;Parque Chacabuco;7;-34,632372;-58,439645;;26
LC-2021-1062697;2021;Junio;Miércoles;30/6/2021;20;Robo (con violencia);;;Monserrat;1;-34,612849;-58,377589;;3
LC-2021-1062844;2021;Marzo;Sábado;27/3/2021;6;Hurto (sin violencia);Hurto Automotor;;Villa Santa Rita;11;-34,620554;-58,487758;;16
LC-2021-1062956;2021;Mayo;Jueves;6/5/2021;18;Robo (con violencia);;Arma de fuego;San Nicolás;1;-34,603684;-58,381559;;34
LC-2021-1063116;2021;Junio;Sábado;19/6/2021;12;Hurto (sin violencia);;;Chacarita;15;-34,5874;-58,449326;;37
LC-2021-1063134;2021;Marzo;Miércoles;31/3/2021;8;Robo (con violencia);;;Flores;7;-34,630362;-58,468303;;21
LC-2021-1063167;2021;Febrero;Viernes;5/2/2021;14;Hurto (sin violencia);;;Belgrano;13;-34,552174;-58,451578;;12
LC-2021-1063209;2021;Junio;miércoles;2/6/2021;22;Homicidio;Doloso;;Balvanera;3;-34,60857373;-58,40083597;1;3
LC-2021-1063320;2021;Marzo;Miércoles;31/3/2021;3;Robo (con violencia);;;Flores;7;-34,615007;-58,459732;;13
LC-2021-1063321;2021;Enero;Jueves;21/1/2021;17;Hurto (sin violencia);;;Mataderos;9;-34,657827;-58,507464;;28
LC-2021-1063495;2021;Enero;Viernes;8/1/2021;13;Robo (con violencia);;;Parque Chacabuco;7;-34,643576;-58,441477;;31
LC-2021-1063498;2021;Junio;Lunes;14/6/2021;19;Robo (con violencia);;;Caballito;6;-34,604299;-58,433223;;29
LC-2021-1063512;2021;Junio;Miércoles;30/6/2021;8;Hurto (sin violencia);;;Palermo;14;-34,586922;-58,418788;;7
LC-2021-1063551;2021;Enero;Lunes;25/1/2021;11;Robo (con violencia);Con uso de moto;;Villa Gral. Mitre;11;-34,603502;-58,468278;;35
LC-2021-1063584;2021;Marzo;Martes;30/3/2021;8;Hurto (sin violencia);;;Mataderos;9;-34,651649;-58,500744;;4
LC-2021-1063597;2021;Febrero;Lunes;15/2/2021;8;Robo (con violencia);;;Parque Avellaneda;9;-34,642467;-58,490108;;26
LC-2021-1063607;2021;Mayo;Martes;11/5/2021;14;Robo (con violencia);;Arma de fuego;Villa Soldati;8;-34,67315;-58,458364;;12
LC-2021-1063757;2021;Abril;Sábado;10/4/2021;18;Robo (con violencia);;;Caballito;6;-34,615076;-58,432118;;7
LC-2021-1063782;2021;Marzo;Domingo;14/3/2021;10;Robo (con violencia);Con uso de moto;;Belgrano;13;-34,549923;-58,450062;;33
LC-2021-1064119;2021;Mayo;Viernes;21/5/2021;12;Robo (con violencia);;;Villa Urquiza;12;-34,575581;-58,484291;;18
LC-2021-1064346;2021;Abril;Lunes;26/4/2021;21;Robo (con violencia);;;Caballito;6;-34,609797;-58,456348;;21
LC-2021-1064560;2021;Junio;Martes;1/6/2021;13;Hurto (sin violencia);;;Caballito;6;-34,619975;-58,440035;;23
LC-2021-1064596;2021;Marzo;Martes;30/3/2021;18;Hurto (sin violencia);;;Palermo;14;-34,588347;-58,410688;;26
LC-2021-1064708;2021;Junio;Lunes;7/6/2021;12;Robo (con violencia);;;San Nicolás;1;-34,604308;-58,382227;;38
LC-2021-1064770;2021;Abril;Viernes;9/4/2021;17;Robo (con violencia);;;Recoleta;2;-34,587761;-58,403771;;1
LC-2021-1064835;2021;Febrero;Martes;2/2/2021;21;Lesiones;Siniestro Vial;;Almagro;5;-34,613872;-58,417248;1;22
LC-2021-1064842;2021;Junio;Miércoles;2/6/2021;11;Robo (con violencia);;Arma cortante;Monserrat;1;-34,611382;-58,387852;;29
LC-2021-1064845;2021;Abril;Domingo;4/4/2021;0;Robo (con violencia);;Arma de fuego;Nueva Pompeya;4;-34,642867;-58,427478;;4
LC-2021-1064942;2021;Abril;Viernes;30/4/2021;15;Robo (con violencia);;;San Cristóbal;3;-34,624278;-58,395952;;34
LC-2021-1064970;2021;Abril;Martes;13/4/2021;12;Hurto (sin violencia);;;Belgrano;13;-34,5657;-58,453045;;23
LC-2021-1065235;2021;Abril;Viernes;30/4/2021;4;Robo (con violencia);Con uso de moto;Arma de fuego;Nueva Pompeya;4;-34,648277;-58,41503;;18
LC-2021-1065288;2021;Febrero;Viernes;19/2/2021;8;Hurto (sin violencia);;;Parque Chacabuco;7;-34,630503;-58,450206;;23
LC-2021-1065336;2021;Abril;Viernes;16/4/2021;19;Hurto (sin violencia);;;Colegiales;13;-34,570578;-58,448454;;29
LC-2021-1065403;2021;Marzo;Sábado;6/3/2021;SD;Hurto (sin violencia);;;Caballito;6;-34,613343;-58,435858;;26
LC-2021-1065426;2021;Febrero;Viernes;19/2/2021;18;Robo (con violencia);;;Retiro;1;-34,598391;-58,386339;;3
LC-2021-1065450;2021;Mayo;Viernes;21/5/2021;9;Robo (con violencia);;Arma de fuego;Flores;7;-34,648297;-58,439555;;4
LC-2021-1065802;2021;Mayo;Martes;25/5/2021;18;Robo (con violencia);;;Nueva Pompeya;4;-34,645352;-58,428027;;3
LC-2021-1066103;2021;Mayo;Jueves;27/5/2021;5;Robo (con violencia);;;Flores;7;-34,632521;-58,462699;;10
LC-2021-1066121;2021;Febrero;Domingo;7/2/2021;2;Hurto (sin violencia);Hurto Automotor;;San Cristóbal;3;-34,622723;-58,404469;;2
LC-2021-1066158;2021;Mayo;Jueves;13/5/2021;16;Hurto (sin violencia);;;Monte Castro;10;-34,617783;-58,502081;;3
LC-2021-1066451;2021;Mayo;Lunes;17/5/2021;11;Hurto (sin violencia);;;Caballito;6;-34,626996;-58,426759;;26
LC-2021-1066473;2021;Mayo;Domingo;16/5/2021;18;Robo (con violencia);;;Belgrano;13;-34,568191;-58,464701;;33
LC-2021-1066520;2021;Junio;Miércoles;9/6/2021;22;Robo (con violencia);;;Boca;4;-34,629803;-58,356059;;14
LC-2021-1066539;2021;Enero;Lunes;18/1/2021;0;Hurto (sin violencia);;;Villa Urquiza;12;-34,576432;-58,482827;;11
LC-2021-1066545;2021;Junio;Viernes;18/6/2021;16;Robo (con violencia);;;Boedo;5;-34,629563;-58,421468;;37
LC-2021-1066645;2021;Mayo;Miércoles;19/5/2021;6;Robo (con violencia);;;Vélez Sársfield;10;-34,638891;-58,487886;;16
LC-2021-1066683;2021;Enero;Lunes;18/1/2021;23;Robo (con violencia);;;Saavedra;12;-34,542707;-58,474411;;36
LC-2021-1066921;2021;Marzo;Domingo;14/3/2021;21;Hurto (sin violencia);;;Flores;7;-34,625422;-58,464557;;15
LC-2021-1067059;2021;Enero;Jueves;28/1/2021;23;Lesiones;Siniestro Vial;;Palermo;14;-34,579642;-58,423408;1;1
